Work Item Type,Title 1,Title 2,Title 3,Description,Acceptance Criteria,Tags
Epic,Content Syndication Engine,,,,,365-Community
Feature,,Member feed records,,,,Syndicate-Pro
User Story,,,US-001 Manage my content sources,"As a Member, I want to register any number of content sources (blog RSS, web page with no RSS, podcast RSS, YouTube channel, events feed) mapped to categories, so that my content is pulled onto the site automatically.","- Add, edit, pause, delete feed records from profile and the Submit Content page
- Each record has type, URL/identifier, target categories, full-text toggle
- YouTube record accepts a UC channel ID or URL; invalid ID rejected clearly
- Web-page (no RSS) record accepts a listing-page URL
- Only Contributor-and-above can manage feeds",Syndicate-Pro
User Story,,,US-002 Round-robin fetch every 5 minutes,"As a Site Admin, I want the system to check one member's feeds every 5 minutes in rotation, so that new content appears promptly without overloading any source.","- Scheduled task runs every 5 minutes and advances to the next member
- Rotation pointer persists and wraps all eligible members
- Interval configurable; changing it reschedules the task
- Schedule self-heals if the event is lost",Syndicate-Pro
Feature,,Importing and de-duplication,,,,Syndicate-Pro
User Story,,,US-003 Import new items faithfully,"As a Member, I want new items imported with their original title, image, full text, and date under my name, so that my work is represented accurately and credited.","- Keeps original title, sideloaded image, body, date; authored by the member
- Ends with source link and republished-with-permission note; canonical to original
- Lands in the feed record's categories
- Up to 5 new items per feed per run (configurable)
- YouTube Shorts skipped",Syndicate-Pro
User Story,,,US-004 Never duplicate existing content,"As a Site Admin, I want imported items matched against existing content by identifier and title, so that six years of existing posts are never duplicated.","- Item present by GUID or matching title is not re-imported
- Legacy post matched by title gets the GUID stamped on
- De-dup considers trashed items so removed imports don't return",Syndicate-Pro
User Story,,,US-005 Backfill history on first fetch,"As a Member, I want my full back-catalogue imported the first time a feed is checked, so that my existing content is available immediately.","- First fetch imports full history, uncapped by the per-run limit
- Social sharing and push suppressed during backfill
- Admin can Run historic per feed and Run all historic (no social)",Syndicate-Pro
Feature,,Source handling and resilience,,,,Syndicate-Pro
User Story,,,US-006 Full-text and no-RSS scraping,"As a Member whose feed only carries summaries or has no feed, I want the system to fetch the full article, so that the complete post is republished.","- Full-text toggle fetches the article page and extracts the full body when more complete
- No-RSS source discovers new links from a listing page and scrapes each article
- Outbound fetches of member URLs blocked from private/internal addresses",Syndicate-Pro
User Story,,,US-007 Category fallback image,"As a Site Admin, I want a category's image used when an imported post has none, so that every card has a picture.","- Featured image resolves: item image, then first content image, then category image, then none
- Category image set per category, downloaded once and reused",Syndicate-Pro
User Story,,,US-008 Alert on failing feeds,"As a Site Admin, I want an email after a feed fails several times, so that I can fix broken sources.","- After 5 consecutive failures the admin is emailed with feed and last error
- Other feeds unaffected
- Failing feeds listed on the dashboard, worst first",Syndicate-Pro
